C,MC,SCP_UID,date,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,REP,FAI,GNDVI,NDVI-B8A,VB-FAH,SEI,SABI
Sf,S,20191002_151523250935_482,20190304,0.1179,0.067,0.0888,0.0828,0.1445,0.1288,0.1483,0.2256,0.1552,0.1401,0.0692,0.0535,0.46303502,701.29254,0.14534321,0.4351145,0.3042017,0.140484,0.53052914,0.9165597
Sf,S,20191002_151523250935_482,20190304,0.107,0.068,0.089,0.0774,0.1321,0.1353,0.1544,0.203,0.1501,0.1103,0.0683,0.0538,0.44793156,702.8796,0.1273017,0.39041093,0.31956044,0.1211224,0.49649838,0.79999995
Sf,S,20191002_151523250935_482,20190304,0.0979,0.0628,0.0861,0.0738,0.116,0.125,0.1402,0.1532,0.1308,0.0915,0.0665,0.0538,0.34977975,703.69293,0.080765106,0.2804012,0.27859238,0.0746522,0.39462903,0.5332438
Sf,S,20191002_151523250935_482,20190304,0.1174,0.0707,0.0828,0.0678,0.122,0.1092,0.1275,0.1378,0.1376,0.1431,0.0676,0.0538,0.34046692,701.3138,0.070037395,0.24932,0.33982474,0.06420999,0.34177214,0.45602605
Sf,S,20191002_151523250935_482,20190304,0.1068,0.0649,0.0795,0.0731,0.1267,0.1255,0.1445,0.118,0.1419,0.1131,0.0687,0.0544,0.23495552,702.51587,0.045722798,0.19493674,0.32,0.042429604,0.26406,0.31094182
Sf,S,20191002_151523250935_482,20190304,0.0978,0.0615,0.0797,0.0788,0.1179,0.1209,0.136,0.1178,0.1271,0.0941,0.0674,0.0537,0.19837232,703.46106,0.041131794,0.19291139,0.2345799,0.0386526,0.2721382,0.27620393
Sl,S,edit,20190304,0.0927,0.089,0.1266,0.129,0.2132,0.2445,0.2682,0.2852,0.297,0.2777,0.2904,0.2125,0.3771125,703.88354,0.1260182,0.38513842,0.3943662,0.15712641,-0.009034049,0.7244898
Sl,S,edit,20190304,0.0913,0.0723,0.1118,0.105,0.2128,0.2392,0.2663,0.281,0.2907,0.266,0.2684,0.1996,0.45595858,702.8977,0.14544418,0.43075356,0.46929494,0.17337519,0.022934066,0.9560022
Sl,S,edit,20190304,0.0894,0.0608,0.0988,0.0954,0.2082,0.2298,0.2559,0.273,0.2771,0.2519,0.2526,0.19,0.48208466,702.399,0.14820361,0.46853146,0.48778522,0.1762876,0.03881276,1.1127819
Sl,S,edit,20190304,0.0869,0.0696,0.0958,0.1032,0.1996,0.2163,0.2373,0.252,0.2561,0.2352,0.243,0.1837,0.41891894,702.53,0.1226574,0.4491087,0.42554966,0.1516564,0.018181825,0.8996373
Ws,W,20191002_152719509704_693,20190304,0.041,0.0553,0.0674,0.0438,0.0429,0.0375,0.0417,0.0384,0.0388,0.0665,0.0326,0.0266,-0.06569341,704.9347,-0.003305599,-0.27410206,-0.060532678,-0.014509598,0.081690155,-0.044009764
Ws,W,20191002_152510014693_390,20190304,0.2472,0.3002,0.3316,0.1548,0.1147,0.0444,0.0462,0.0406,0.0438,0.0425,0.0422,0.0364,-0.58444214,701.87616,-0.09314379,-0.7818377,-0.5589124,-0.1824448,-0.019323638,-0.1807534
Ws,W,20191002_152510014693_390,20190304,0.245,0.298,0.334,0.1634,0.1294,0.045,0.0489,0.0426,0.0438,0.0427,0.0434,0.0383,-0.5864077,700.334,-0.098359995,-0.7737652,-0.5772201,-0.18665159,-0.0093023535,-0.19113924
Ws,W,20191002_152559080393_893,20190304,0.0464,0.0667,0.0927,0.0495,0.0465,0.0421,0.0451,0.0418,0.0444,0.037,0.0405,0.0356,-0.08433735,705.31604,-0.0060169995,-0.37843865,-0.05431311,-0.024375198,0.015795864,-0.048306152
Ws,W,20191003_102018362270_521,20190304,0.2791,0.3528,0.3962,0.2152,0.1679,0.0492,0.0517,0.0463,0.0453,0.0428,0.044,0.0394,-0.64588916,699.4461,-0.13688561,-0.79073447,-0.65220726,-0.23876601,0.025470672,-0.22550069
